name,nb_bac,template,date_start,nb_adult,nb_laying_day,reproduction_humidity_mass,reproduction_humidity_freq,reproduction_humidity_type,substrat_initial_mass,substrat_add_mass,substrat_BSG,substrat_carrot,substrat_apple,substrat_pear,substrat_other,other_type,growth_humidity_mass,growth_humidity_freq,growth_humidity_type,humidity_delay,humidity_total_mass,growth_day,harvest_mealworm_mass,harvest_pupa_nb,harvest_frass_pure,harvest_frass_filtered
G2.B16,1,NULL,2020-03-11,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3050,120,671,1993,NULL,NULL
G2.C0,1,NULL,2019-12-12,1700,19,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3300,114,930,30,930,NULL
G2.C1,1,NULL,2019-12-30,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3900,126,905,103,1309,NULL
G2.C2,1,NULL,2020-01-05,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4100,132,874,53,1395,NULL
G2.C3,1,NULL,2020-01-11,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3900,126,890,37,1319,NULL
G2.C4,1,NULL,2020-01-17,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3700,120,806,124,1403,NULL
G2.C5,1,NULL,2020-01-23,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,3500,114,853,68,1297,NULL
G2.C6,1,NULL,2020-01-29,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4500,83,702,584,NULL,NULL
G2.C7,1,NULL,2020-02-04,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4500,144,598,180,NULL,NULL
G2.C8,1,NULL,2020-02-10,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4500,144,784,43,NULL,NULL
G2.C9,1,NULL,2020-02-16,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4300,138,834,78,NULL,NULL
G2.C10,1,NULL,2020-02-22,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,4100,126,679,25,NULL,NULL
G2.C11,1,NULL,2020-02-28,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,3950,NULL,NULL,NULL,NULL,NULL
G2.C12,1,NULL,2020-03-05,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,3750,NULL,NULL,NULL,NULL,NULL
G2.C13,1,NULL,2020-03-11,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,3250,114,743,128,NULL,NULL
G2.D0,1,NULL,2019-12-30,1700,19,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,2650,96,530,181,1591,NULL
G2.D1,1,NULL,2020-01-17,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,2400,90,628,226,1544,NULL
G2.D2,1,NULL,2020-01-23,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,2750,114,692,102,1374,NULL
G2.D3,1,NULL,2020-01-29,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4000,138,835,161,1128,355
G2.D4,1,NULL,2020-02-04,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,5000,NULL,NULL,NULL,,
G2.D5,1,NULL,2020-02-10,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4800,NULL,NULL,NULL,,
G2.D6,1,NULL,2020-02-16,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4600,NULL,NULL,NULL,,
G2.D7,1,NULL,2020-02-22,1700,6,200,3,carrot,2000,500,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,4100,NULL,NULL,NULL,,
G2.D8,1,NULL,2020-02-28,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,3950,NULL,NULL,NULL,,
G2.D9,1,NULL,2020-03-05,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,3750,NULL,NULL,NULL,,
G2.D10,1,NULL,2020-03-11,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,2850,102,605,8,,
G2.E0,1,NULL,2020-01-17,1700,19,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,2550,84,431,150,1600,NULL
G2.E1,1,NULL,2020-02-04,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,2300,78,485,62,1626,NULL
G2.E2,1,NULL,2020-02-10,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4800,NULL,NULL,NULL,,
G2.E3,1,NULL,2020-02-16,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,11,4600,NULL,NULL,NULL,,
G2.E4,1,NULL,2020-02-22,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,4100,NULL,NULL,NULL,,
G2.E5,1,NULL,2020-02-28,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,3950,NULL,NULL,NULL,,
G2.E6,1,NULL,2020-03-05,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,3750,NULL,NULL,NULL,,
G2.E7,1,NULL,2020-03-11,1700,6,200,3,carrot,2000,0,0.75,0,0,0,0.25,mix fruits,100,3,carrot,26,3250,114,924,20,,
